img_path,angle,trial_type,correct_key
stimuli/20_150_R.jpg,150,different,j
stimuli/21_0.jpg,0,same,f
stimuli/21_0_R.jpg,0,different,j
stimuli/21_50.jpg,50,same,f
stimuli/21_50_R.jpg,50,different,j
stimuli/21_100.jpg,100,same,f
stimuli/21_100_R.jpg,100,different,j
stimuli/21_150.jpg,150,same,f
stimuli/21_150_R.jpg,150,different,j
stimuli/22_0.jpg,0,same,f
stimuli/22_0_R.jpg,0,different,j
stimuli/22_50.jpg,50,same,f
stimuli/22_50_R.jpg,50,different,j
stimuli/22_100.jpg,100,same,f
stimuli/22_100_R.jpg,100,different,j
stimuli/22_150.jpg,150,same,f
stimuli/22_150_R.jpg,150,different,j
stimuli/23_0.jpg,0,same,f
stimuli/23_0_R.jpg,0,different,j
stimuli/23_50.jpg,50,same,f
stimuli/23_50_R.jpg,50,different,j
stimuli/23_100.jpg,100,same,f
stimuli/23_100_R.jpg,100,different,j
stimuli/23_150.jpg,150,same,f
stimuli/23_150_R.jpg,150,different,j
stimuli/24_0.jpg,0,same,f
stimuli/24_0_R.jpg,0,different,j
stimuli/24_50.jpg,50,same,f
stimuli/24_50_R.jpg,50,different,j
stimuli/24_100.jpg,100,same,f
stimuli/24_100_R.jpg,100,different,j
stimuli/24_150.jpg,150,same,f
stimuli/24_150_R.jpg,150,different,j
stimuli/25_0.jpg,0,same,f
stimuli/25_0_R.jpg,0,different,j
stimuli/25_50.jpg,50,same,f
stimuli/25_50_R.jpg,50,different,j
stimuli/25_100.jpg,100,same,f
stimuli/25_100_R.jpg,100,different,j
stimuli/25_150.jpg,150,same,f
stimuli/25_150_R.jpg,150,different,j
stimuli/26_0.jpg,0,same,f
stimuli/26_0_R.jpg,0,different,j
stimuli/26_50.jpg,50,same,f
stimuli/26_50_R.jpg,50,different,j
stimuli/26_100.jpg,100,same,f
stimuli/26_100_R.jpg,100,different,j
stimuli/26_150.jpg,150,same,f
stimuli/26_150_R.jpg,150,different,j
stimuli/27_0.jpg,0,same,f
stimuli/27_0_R.jpg,0,different,j
stimuli/27_50.jpg,50,same,f
stimuli/27_50_R.jpg,50,different,j
stimuli/27_100.jpg,100,same,f
stimuli/27_100_R.jpg,100,different,j
stimuli/27_150.jpg,150,same,f
stimuli/27_150_R.jpg,150,different,j
stimuli/28_0.jpg,0,same,f
stimuli/28_0_R.jpg,0,different,j
stimuli/28_50.jpg,50,same,f
stimuli/28_50_R.jpg,50,different,j
stimuli/28_100.jpg,100,same,f
stimuli/28_100_R.jpg,100,different,j
stimuli/28_150.jpg,150,same,f
stimuli/28_150_R.jpg,150,different,j
stimuli/29_0.jpg,0,same,f
stimuli/29_0_R.jpg,0,different,j
stimuli/29_50.jpg,50,same,f
stimuli/29_50_R.jpg,50,different,j
stimuli/29_100.jpg,100,same,f
stimuli/29_100_R.jpg,100,different,j
stimuli/29_150.jpg,150,same,f
stimuli/29_150_R.jpg,150,different,j
stimuli/30_0.jpg,0,same,f
stimuli/30_0_R.jpg,0,different,j
stimuli/30_50.jpg,50,same,f
stimuli/30_50_R.jpg,50,different,j
stimuli/30_100.jpg,100,same,f
stimuli/30_100_R.jpg,100,different,j
stimuli/30_150.jpg,150,same,f
stimuli/30_150_R.jpg,150,different,j
stimuli/31_0.jpg,0,same,f
stimuli/31_0_R.jpg,0,different,j
stimuli/31_50.jpg,50,same,f
stimuli/31_50_R.jpg,50,different,j
stimuli/31_100.jpg,100,same,f
stimuli/31_100_R.jpg,100,different,j
stimuli/31_150.jpg,150,same,f
stimuli/31_150_R.jpg,150,different,j
stimuli/32_0.jpg,0,same,f
stimuli/32_0_R.jpg,0,different,j
stimuli/32_50.jpg,50,same,f
stimuli/32_50_R.jpg,50,different,j
stimuli/32_100.jpg,100,same,f
stimuli/32_100_R.jpg,100,different,j
stimuli/32_150.jpg,150,same,f
stimuli/32_150_R.jpg,150,different,j
stimuli/33_0.jpg,0,same,f
stimuli/33_0_R.jpg,0,different,j
stimuli/33_50.jpg,50,same,f
stimuli/33_50_R.jpg,50,different,j
stimuli/33_100.jpg,100,same,f
stimuli/33_100_R.jpg,100,different,j
stimuli/33_150.jpg,150,same,f
stimuli/33_150_R.jpg,150,different,j
stimuli/34_0.jpg,0,same,f
stimuli/34_0_R.jpg,0,different,j
stimuli/34_50.jpg,50,same,f
stimuli/34_50_R.jpg,50,different,j
stimuli/34_100.jpg,100,same,f
stimuli/34_100_R.jpg,100,different,j
stimuli/34_150.jpg,150,same,f
stimuli/34_150_R.jpg,150,different,j
stimuli/35_0.jpg,0,same,f
stimuli/35_0_R.jpg,0,different,j
stimuli/35_50.jpg,50,same,f
stimuli/35_50_R.jpg,50,different,j
stimuli/35_100.jpg,100,same,f
stimuli/35_100_R.jpg,100,different,j
stimuli/35_150.jpg,150,same,f
stimuli/35_150_R.jpg,150,different,j
stimuli/36_0.jpg,0,same,f
stimuli/36_0_R.jpg,0,different,j
stimuli/36_50.jpg,50,same,f
stimuli/36_50_R.jpg,50,different,j
stimuli/36_100.jpg,100,same,f
stimuli/36_100_R.jpg,100,different,j
stimuli/36_150.jpg,150,same,f
stimuli/36_150_R.jpg,150,different,j
stimuli/37_0.jpg,0,same,f
stimuli/37_0_R.jpg,0,different,j
stimuli/37_50.jpg,50,same,f
stimuli/37_50_R.jpg,50,different,j
stimuli/37_100.jpg,100,same,f
stimuli/37_100_R.jpg,100,different,j
stimuli/37_150.jpg,150,same,f
stimuli/37_150_R.jpg,150,different,j
stimuli/38_0.jpg,0,same,f
stimuli/38_0_R.jpg,0,different,j
stimuli/38_50.jpg,50,same,f
stimuli/38_50_R.jpg,50,different,j
stimuli/38_100.jpg,100,same,f
stimuli/38_100_R.jpg,100,different,j
stimuli/38_150.jpg,150,same,f
stimuli/38_150_R.jpg,150,different,j
stimuli/39_0.jpg,0,same,f
stimuli/39_0_R.jpg,0,different,j
stimuli/39_50.jpg,50,same,f
stimuli/39_50_R.jpg,50,different,j
stimuli/39_100.jpg,100,same,f
stimuli/39_100_R.jpg,100,different,j
stimuli/39_150.jpg,150,same,f
stimuli/39_150_R.jpg,150,different,j
stimuli/40_0.jpg,0,same,f
stimuli/40_0_R.jpg,0,different,j
stimuli/40_50.jpg,50,same,f
stimuli/40_50_R.jpg,50,different,j
stimuli/40_100.jpg,100,same,f
stimuli/40_100_R.jpg,100,different,j
stimuli/40_150.jpg,150,same,f
stimuli/40_150_R.jpg,150,different,j
stimuli/41_0.jpg,0,same,f
stimuli/41_0_R.jpg,0,different,j
stimuli/41_50.jpg,50,same,f
stimuli/41_50_R.jpg,50,different,j
stimuli/41_100.jpg,100,same,f
stimuli/41_100_R.jpg,100,different,j
stimuli/41_150.jpg,150,same,f
stimuli/41_150_R.jpg,150,different,j
stimuli/42_0.jpg,0,same,f
stimuli/42_0_R.jpg,0,different,j
stimuli/42_50.jpg,50,same,f
stimuli/42_50_R.jpg,50,different,j
stimuli/42_100.jpg,100,same,f
stimuli/42_100_R.jpg,100,different,j
stimuli/42_150.jpg,150,same,f
stimuli/42_150_R.jpg,150,different,j
stimuli/43_0.jpg,0,same,f
stimuli/43_0_R.jpg,0,different,j
stimuli/43_50.jpg,50,same,f
stimuli/43_50_R.jpg,50,different,j
stimuli/43_100.jpg,100,same,f
stimuli/43_100_R.jpg,100,different,j
stimuli/43_150.jpg,150,same,f
stimuli/43_150_R.jpg,150,different,j
stimuli/44_0.jpg,0,same,f
stimuli/44_0_R.jpg,0,different,j
stimuli/44_50.jpg,50,same,f
stimuli/44_50_R.jpg,50,different,j
stimuli/44_100.jpg,100,same,f
stimuli/44_100_R.jpg,100,different,j
stimuli/44_150.jpg,150,same,f
stimuli/44_150_R.jpg,150,different,j
stimuli/45_0.jpg,0,same,f
stimuli/45_0_R.jpg,0,different,j
stimuli/45_50.jpg,50,same,f
stimuli/45_50_R.jpg,50,different,j
stimuli/45_100.jpg,100,same,f
stimuli/45_100_R.jpg,100,different,j
stimuli/45_150.jpg,150,same,f
stimuli/45_150_R.jpg,150,different,j
stimuli/46_0.jpg,0,same,f
stimuli/46_0_R.jpg,0,different,j
stimuli/46_50.jpg,50,same,f
stimuli/46_50_R.jpg,50,different,j
stimuli/46_100.jpg,100,same,f
stimuli/46_100_R.jpg,100,different,j
stimuli/46_150.jpg,150,same,f
stimuli/46_150_R.jpg,150,different,j
stimuli/47_0.jpg,0,same,f
stimuli/47_0_R.jpg,0,different,j
stimuli/47_50.jpg,50,same,f
stimuli/47_50_R.jpg,50,different,j
stimuli/47_100.jpg,100,same,f
stimuli/47_100_R.jpg,100,different,j
stimuli/47_150.jpg,150,same,f
stimuli/47_150_R.jpg,150,different,j
stimuli/48_0.jpg,0,same,f
stimuli/48_0_R.jpg,0,different,j
stimuli/48_50.jpg,50,same,f
stimuli/48_50_R.jpg,50,different,j
stimuli/48_100.jpg,100,same,f
stimuli/48_100_R.jpg,100,different,j
stimuli/48_150.jpg,150,same,f
stimuli/48_150_R.jpg,150,different,j
